date,track,artist,streams,day_of_week,week_of_year
2020-11-19,All I Want for Christmas Is You,Mariah Carey,10710928,Thursday,47
2020-11-19,It's Beginning to Look a Lot Like Christmas,Michael Bublé,6347297,Thursday,47
2020-11-19,Jingle Bell Rock,Bobby Helms,6085366,Thursday,47
2020-11-19,Last Christmas,Wham!,8260126,Thursday,47
2020-11-19,Rockin' Around the Christmas Tree,Brenda Lee,6245707,Thursday,47
2020-11-19,Santa Tell Me,Ariana Grande,7008578,Thursday,47
2020-11-26,All I Want for Christmas Is You,Mariah Carey,17049383,Thursday,48
2020-11-26,Feliz Navidad,José Feliciano,5829640,Thursday,48
2020-11-26,It's Beginning to Look a Lot Like Christmas,Michael Bublé,10582983,Thursday,48
2020-11-26,Jingle Bell Rock,Bobby Helms,9678255,Thursday,48
2020-11-26,Last Christmas,Wham!,13660931,Thursday,48
2020-11-26,Rockin' Around the Christmas Tree,Brenda Lee,9913441,Thursday,48
2020-11-26,Santa Tell Me,Ariana Grande,11284097,Thursday,48
2020-12-03,All I Want for Christmas Is You,Mariah Carey,28851001,Thursday,49
2020-12-03,Feliz Navidad,José Feliciano,11016398,Thursday,49
2020-12-03,It's Beginning to Look a Lot Like Christmas,Michael Bublé,19245044,Thursday,49
2020-12-03,Jingle Bell Rock,Bobby Helms,17455348,Thursday,49
2020-12-03,Last Christmas,Wham!,24561977,Thursday,49
2020-12-03,Rockin' Around the Christmas Tree,Brenda Lee,17910786,Thursday,49
2020-12-03,Santa Tell Me,Ariana Grande,20098148,Thursday,49
2020-12-10,All I Want for Christmas Is You,Mariah Carey,33463486,Thursday,50
2020-12-10,Feliz Navidad,José Feliciano,13437547,Thursday,50
2020-12-10,It's Beginning to Look a Lot Like Christmas,Michael Bublé,22257026,Thursday,50
2020-12-10,Jingle Bell Rock,Bobby Helms,20577119,Thursday,50
2020-12-10,Last Christmas,Wham!,28540616,Thursday,50
2020-12-10,Rockin' Around the Christmas Tree,Brenda Lee,21702857,Thursday,50
2020-12-10,Santa Tell Me,Ariana Grande,23873167,Thursday,50
2020-12-17,All I Want for Christmas Is You,Mariah Carey,32556355,Thursday,51
2020-12-17,Feliz Navidad,José Feliciano,14043735,Thursday,51
2020-12-17,It's Beginning to Look a Lot Like Christmas,Michael Bublé,21728075,Thursday,51
2020-12-17,Jingle Bell Rock,Bobby Helms,21034789,Thursday,51
2020-12-17,Last Christmas,Wham!,28682836,Thursday,51
2020-12-17,Rockin' Around the Christmas Tree,Brenda Lee,22518877,Thursday,51
2020-12-17,Santa Tell Me,Ariana Grande,23649501,Thursday,51
2020-12-24,All I Want for Christmas Is You,Mariah Carey,53401383,Thursday,52
2020-12-24,Feliz Navidad,José Feliciano,24517609,Thursday,52
2020-12-24,It's Beginning to Look a Lot Like Christmas,Michael Bublé,36227377,Thursday,52
2020-12-24,Jingle Bell Rock,Bobby Helms,36117097,Thursday,52
2020-12-24,Last Christmas,Wham!,48011162,Thursday,52
2020-12-24,Rockin' Around the Christmas Tree,Brenda Lee,37323134,Thursday,52
2020-12-24,Santa Tell Me,Ariana Grande,38503261,Thursday,52
2020-12-31,All I Want for Christmas Is You,Mariah Carey,23235257,Thursday,53
2020-12-31,Feliz Navidad,José Feliciano,11664490,Thursday,53
2020-12-31,It's Beginning to Look a Lot Like Christmas,Michael Bublé,15424001,Thursday,53
2020-12-31,Jingle Bell Rock,Bobby Helms,16527404,Thursday,53
2020-12-31,Last Christmas,Wham!,20709328,Thursday,53
2020-12-31,Rockin' Around the Christmas Tree,Brenda Lee,16613649,Thursday,53
2020-12-31,Santa Tell Me,Ariana Grande,16657592,Thursday,53
2021-11-11,All I Want for Christmas Is You,Mariah Carey,6622750,Thursday,45
2021-11-18,All I Want for Christmas Is You,Mariah Carey,8932970,Thursday,46
2021-11-18,Last Christmas,Wham!,6197013,Thursday,46
